DT_RFRNC,OBSRVD_AGNT_ID,PRTCTN_ID,INSTRMNT_ID,CNTRCT_ID,SHR_PAV_PRTCTN,SHR_PAV_INSTRMNT,OTHR_INSTRMNT_PAV_PRTCTN,OTSTNDNG_NMNL_AMNT
2016-10-1,20642001,P_1,I_1,C_A,1.0,0.875,0.0,11250.0
2016-10-1,20642001,P_2,I_1,C_A,1.0,0.125,0.0,11250.0
2016-10-1,20642001,P_3,I_2,C_B,0.0,0.0,0.0,0.0
2016-10-1,20642001,P_4,I_2,C_B,1.0,1.0,0.0,0.0
2016-10-1,20642001,P_5,I_3,C_C,1.0,0.01639344262295082,0.0,1475.409836065574
2016-10-1,20642001,P_6,I_3,C_C,1.0,0.9836065573770492,0.0,1475.409836065574
2016-10-1,20642001,P_9,I_5,C_E,1.0,0.5294117647058824,0.0,42352.94117647059
2016-10-1,20642001,P_10,I_5,C_E,1.0,0.47058823529411764,0.0,42352.94117647059
2016-10-1,20642001,P_11,I_6,C_F,0.9090909090909091,1.0,10000.0,125000.0
2016-10-1,20642001,P_11,I_7,C_G,0.09090909090909091,1.0,100000.0,8500.0
