OBSRVD_AGNT_ID,DT_RFRNC,CNTRCT_ID,INSTRMNT_ID,CRDTR_ID,ENTTY_RIAD_ID,DV_OTSTNDNG_NMNL_AMNT,CV_OTSTNDNG_NMNL_AMNT
20642001,2016-10-1,C_A,I_1,20642001,20642219,90000,90000.0
20642001,2016-10-1,C_B,I_2,20642001,20642202,10000,10000.0
20642001,2016-10-1,C_C,I_3,20642101,20642218,90000,90000.0
20642001,2016-10-1,C_E,I_5,20642001,20642205,90000,90000.0
20642001,2016-10-1,C_F,I_6,20642001,20642203,50000,33333.33333
20642001,2016-10-1,C_F,I_6,20642001,20642201,25000,16666.66667
20642001,2016-10-1,C_F,I_6,20642101,20642203,75000,50000.0
20642001,2016-10-1,C_F,I_6,20642101,20642201,37500,25000.0
20642001,2016-10-1,C_G,I_7,20642001,20642203,3500,3500.0
20642001,2016-10-1,C_G,I_7,20642001,20642201,3500,3500.0
20642001,2016-10-1,C_G,I_7,20642102,20642203,750,750.0
20642001,2016-10-1,C_G,I_7,20642102,20642201,750,750.0
