DT_RFRNC,OBSRVD_AGNT_CD,PRTCTN_ID,PRTCTN_ALLCTD_VL
2019-09-30,EEAS_OA30,GUA_1,60750000.0
2019-09-30,EEAS_OA30,GUA_2,185500.0
2019-09-30,EEAS_OA30,G_PRTCTN_ALLCTD_VL,1000185200.0
2019-09-30,EEAS_OA30,GUA_4,185700.0
2019-09-30,EEAS_OA30,GUA_5,266350.0
2019-09-30,EEAS_OA30,GUA_6,500000.0
2019-09-30,EEAS_OA30,G_CN0950,500000.0
2019-09-30,EEAS_OA30,G_CN0960a,72500000.0
2019-09-30,EEAS_OA30,GUA_9,500000.0
2019-09-30,EEAS_OA30,GUA_10,500000.0
2019-09-30,EEAS_OA30,GUA_11,500000.0
2019-09-30,EEAS_OA30,GUA_12,500000.0
2019-09-30,EEAS_OA30,GUA_13,1000000.0
2019-09-30,EEAS_OA30,GUA_14,10050.0
2019-09-30,EEAS_OA30,GUA_15,216000000.0
2019-09-30,EEAS_OA30,G_CN0960b,216000000.0
2019-09-30,EEAS_OA30,GUA_17,8000000.0
2019-09-30,EEAS_OA30,GUA_18,300000.0
2019-09-30,EEAS_OA30,G_THRD_PRTY_PRRTY_CLMS,38000000.0
2019-09-30,EEAS_OA30,GUA_20,36000000.0
2019-09-30,EEAS_OA30,GUA_21,36000000.0
