DT_RFRNC,OBSRVD_AGNT_CD,PRTCTN_ID,NEVS_PRTCTN_ALLCTD_VL,NEVS_THRD_PRTY_PRRTY_CLMS,PRTCTN_ALLCTD_VL,THRD_PRTY_PRRTY_CLMS
2019-09-30,EEAS_OA30,GUA_1,,,3375000.0,0
2019-09-30,EEAS_OA30,GUA_2,,,185000.0,0
2019-09-30,EEAS_OA30,G_PRTCTN_ALLCTD_VL,,,1000000000.0,0
2019-09-30,EEAS_OA30,GUA_4,,,185000.0,0
2019-09-30,EEAS_OA30,GUA_5,,,133000.0,0
2019-09-30,EEAS_OA30,GUA_6,,,500000.0,0
2019-09-30,EEAS_OA30,G_CN0950,,,500000.0,0
2019-09-30,EEAS_OA30,G_CN0960a,,,36000000.0,0
2019-09-30,EEAS_OA30,GUA_9,,,500000.0,0
2019-09-30,EEAS_OA30,GUA_10,,,500000.0,0
2019-09-30,EEAS_OA30,GUA_11,,,500000.0,0
2019-09-30,EEAS_OA30,GUA_12,,,500000.0,0
2019-09-30,EEAS_OA30,GUA_13,,,500000.0,0
2019-09-30,EEAS_OA30,GUA_14,,,10050.0,0
2019-09-30,EEAS_OA30,GUA_15,,,36000000.0,0
2019-09-30,EEAS_OA30,G_CN0960b,,,36000000.0,0
2019-09-30,EEAS_OA30,GUA_17,,,2000000.0,0
2019-09-30,EEAS_OA30,GUA_18,,,100000.0,20000
2019-09-30,EEAS_OA30,G_THRD_PRTY_PRRTY_CLMS,,,36000000.0,1000000000
2019-09-30,EEAS_OA30,GUA_20,,,36000000.0,0
2019-09-30,EEAS_OA30,GUA_21,,,36000000.0,0
