CNTRCT_ID,DT_RFRNC,ENTTY_RIAD_CD,INSTRMNT_ID,OBSRVD_AGNT_CD,JNT_LBLTY_AMNT,NEVS_JNT_LBLTY_AMNT,CD0060
C_CN0960b,2019-09-30,DEB432O,I_CN0960b,EEAS_OA30,34500000.0,,False
C_CN0960b,2019-09-30,DEBL1T9,I_CN0960b,EEAS_OA30,34500000.0,,False
CCNTR_46,2019-09-30,DEB432O,CINSTR_46,EEAS_OA30,34500000.0,,False
CCNTR_46,2019-09-30,DEBL1T9,CINSTR_46,EEAS_OA30,34500000.0,,False
CCNTR_47,2019-09-30,DEB432O,CINSTR_47,EEAS_OA30,69000000.0,,False
CCNTR_47,2019-09-30,DEBL1T9,CINSTR_47,EEAS_OA30,69000000.0,,False
CCNTR_54,2019-09-30,EEAS_ENT04,CINSTR_54,EEAS_OA30,4434.31,,False
C_CMLTV_RCVRS_SNC_DFLT_INSTRMNT,2019-09-30,ITTS_ENT_63 ,I_CMLTV_RCVRS_SNC_DFLT_INSTRMNT,EEAS_OA30,0.0,,True
CCNTR_56,2019-09-30,EEAS_ENT04,CINSTR_56,EEAS_OA30,1000.0,,False
C_ACCMLTD_IMPRMNT_INSTRMNT,2019-09-30,DEB432O,I_ACCMLTD_IMPRMNT_INSTRMNT,EEAS_OA30,0.0,,False
C_ACCMLTD_IMPRMNT_INSTRMNT,2019-09-30,DEBL1T9,I_ACCMLTD_IMPRMNT_INSTRMNT,EEAS_OA30,69000000.0,,False
CCNTR_58,2019-09-30,DEB432O,CINSTR_58,EEAS_OA30,69100000.0,,False
CCNTR_58,2019-09-30,DEBL1T9,CINSTR_58,EEAS_OA30,69000000.0,,False
CCNTR_59,2019-09-30,DEB432O,CINSTR_59,EEAS_OA30,0.0,,False
CCNTR_59,2019-09-30,DEBL1T9,CINSTR_59,EEAS_OA30,0.0,,False
C_IG0020,2019-09-30,PL08682,I_IG0020,EEAS_OA30,0.0,,False
C_IG0020,2019-09-30,ITTS_ENT_7,I_IG0020,EEAS_OA30,0.0,,False
C_DT_LGL_FNL_MTRTY,2019-09-30,ITTS_ENT_6,I_DT_LGL_FNL_MTRTY,EEAS_OA30,500000.0,,False
C_DT_LGL_FNL_MTRTY,2019-09-30,ITTS_ENT_7,I_DT_LGL_FNL_MTRTY,EEAS_OA30,500000.0,,False
C_IG0070,2019-09-30,ITTS_ENT_6,I_IG0070,EEAS_OA30,0.0,,False
C_IG0070,2019-09-30,ITTS_ENT_7,I_IG0070,EEAS_OA30,0.0,,False
CCNTR_66,2019-09-30,DEBL1T9,CINSTR_66,EEAS_OA30,450000.0,,False
CCNTR_66,2019-09-30,DEB432O,CINSTR_66,EEAS_OA30,400000.0,,False
CCNTR_66,2019-09-30,DEB5DXO,CINSTR_66,EEAS_OA30,400000.0,,False
CCNTR_67,2019-09-30,DEBL1T9,CINSTR_67,EEAS_OA30,450000.0,,False
CCNTR_67,2019-09-30,DEB432O,CINSTR_67,EEAS_OA30,400000.0,,False
CCNTR_67,2019-09-30,DEB5DXO,CINSTR_67,EEAS_OA30,400000.0,,False
CCNTR_68,2019-09-30,DEB432O,CINSTR_68,EEAS_OA30,34500000.0,,False
CCNTR_68,2019-09-30,DEBL1T9,CINSTR_68,EEAS_OA30,34500000.0,,False
C_THRD_PRTY_PRRTY_CLMS,2019-09-30,ITTS_ENT_61,I_THRD_PRTY_PRRTY_CLMS,EEAS_OA30,212500.0,,False
C_THRD_PRTY_PRRTY_CLMS,2019-09-30,EEAS_ENT01,I_THRD_PRTY_PRRTY_CLMS,EEAS_OA30,212500.0,,False
C_THRD_PRTY_PRRTY_CLMS,2019-09-30,EEAS_ENT02,I_THRD_PRTY_PRRTY_CLMS,EEAS_OA30,212500.0,,False
C_THRD_PRTY_PRRTY_CLMS,2019-09-30,EEAS_ENT03,I_THRD_PRTY_PRRTY_CLMS,EEAS_OA30,212500.0,,False
C_L_ACCMLTD_CHNGS_FV_CR_INSTRMNT,2019-09-30,EEAS_ENT02,I_L_ACCMLTD_CHNGS_FV_CR_INSTRMNT,EEAS_OA30,999999.0,,False
C_PRTCTN_ALLCTD_VL,2019-09-30,EEAS_ENT03,I_PRTCTN_ALLCTD_VL,EEAS_OA30,9700.7,,False
C_PRTCTN_ALLCTD_VL,2019-09-30,EEAS_ENT06,I_PRTCTN_ALLCTD_VL,EEAS_OA30,9700.7,,False
CCNTR_74,2019-09-30,EEAS_ENT03,CINSTR_74,EEAS_OA30,48000.7,,False
CCNTR_74,2019-09-30,EEAS_ENT06,CINSTR_74,EEAS_OA30,48000.7,,False
