DT_RFRNC,ENTTY_RIAD_CD,OBSRVD_AGNT_CD,NEVS_PD,PD,CD0030,CD0039,CD0040,CD0060,CD0170
2019-09-30,ITTS_ENT_6,EEAS_OA30,,,False,False,False,True,False
2019-09-30,DEB4PY7,EEAS_OA30,,,False,False,False,True,False
2019-09-30,DEBA32568564,EEAS_OA30,,0.0003,False,False,False,True,False
2019-09-30,DEB432O,EEAS_OA30,,0.0025,False,False,False,True,False
2019-09-30,DEBL1T9,EEAS_OA30,,0.0075,False,False,False,True,False
2019-09-30,CZ11111112,EEAS_OA30,,1e-06,False,False,False,True,False
2019-09-30,DEP8293X307,EEAS_OA30,,0.007,False,False,False,True,False
2019-09-30,DEB5DXO,EEAS_OA30,,,False,False,False,True,False
2019-09-30,ITTS_ENT_63 ,EEAS_OA30,,1.0,False,False,False,True,False
2019-09-30,EEE_DT_DFLT_STTS_ENTTY,EEAS_OA30,,0.01,False,False,False,True,False
2019-09-30,PL08682,EEAS_OA30,,1e-06,False,False,False,True,False
2019-09-30,ITTS_ENT_7,EEAS_OA30,,0.01,False,False,False,True,False
