ENTTY_RIAD_CD,DT_INCPTN,RCRS,TYP_INSTRMNT
EEAS_OA26,2016-07-01,2,1004
EEAS_OA30,2016-07-01,2,1004
FIAS_OA_BRA,2016-07-01,2,1004
ITTS_ENT_40,2100-01-01,2,71
ITTS_ENT_41,2016-07-01,2,1004
ITTS_ENT_410,2016-07-01,2,1004
ITTS_ENT_42,2016-07-01,2,1004
ITTS_ENT_420,2016-07-01,2,1004
ITTS_ENT_43,2016-07-01,2,1004
ITTS_ENT_49,2016-07-01,2,1004
ITTS_ENT_60,2016-07-01,2,1004
ITTS_ENT_61,2016-07-01,2,1004
ITTS_ENT_62,2016-07-01,2,1004
ITTS_ENT_63,2016-07-01,2,1004
ITTS_ENT_CN_CHNGS_OK,2016-07-01,2,1004
LVAS_OA_BRA,2016-07-01,2,1004
