DT_RFRNC,ENTTY_RIAD_CD,OBSRVD_AGNT_CD,NEVS_PD,PD,CD0030,CD0039,CD0040,CD0060,CD0170
2017-03-31,ITTS_ENT_40,EEAS_OA26,,0.01,False,False,False,False,False
2017-03-31,ITTS_ENT_41,EEAS_OA26,,0.01,False,False,False,False,False
2017-03-31,ITTS_ENT_42,EEAS_OA26,,0.01,False,False,False,False,False
2017-03-31,EEAS_OA30,EEAS_OA26,,0.01,False,False,False,False,False
2017-03-31,FIAS_OA_BRA,EEAS_OA26,,0.01,False,False,False,False,False
2017-03-31,LVAS_OA_BRA,EEAS_OA26,,0.01,False,False,False,False,False
2017-03-31,ITTS_ENT_49,EEAS_OA26,,0.01,False,False,False,False,False
2017-03-31,ITTS_ENT_60,EEAS_OA26,,1.0,False,False,False,False,False
2017-03-31,ITTS_ENT_61,EEAS_OA26,,1.0,False,False,False,False,False
2017-03-31,ITTS_ENT_62,EEAS_OA26,,1.0,False,False,False,False,False
2017-03-31,ITTS_ENT_63,EEAS_OA26,,1.0,False,False,False,False,False
2017-03-31,ITTS_ENT_410,EEAS_OA26,,0.01,False,False,False,False,False
2017-03-31,ITTS_ENT_420,EEAS_OA26,,0.01,False,False,False,False,False
2017-03-31,ITTS_ENT_43,EEAS_OA26,,0.01,False,False,False,False,False
2017-03-31,ITTS_ENT_CN_CHNGS_OK,EEAS_OA26,,0.1,False,False,False,False,False
