DT_RFRNC,OBSRVD_AGNT_ID,PRTCTN_ID,INSTRMNT_ID,CNTRCT_ID,THRD_PRTY_PRRTY_CLMS,PRTCTN_ALLCTD_VL,DNMNTR,PRTCTN_VL_TTL_PRTCTN,ORGNL_PRTCTN_VL_PRTCTN,ALLCTD_OPV_W_3PTPC,ALLCTD_PV_W_3PTPC,ALLCTD_OPV_W_PAV,ALLCTD_PV_W_PAV
2016-10-1,20642001,P_1,I_1,C_A,0,7000,7000.0,7000.0,7000.0,0.0,0.0,7000.0,7000.0
2016-10-1,20642001,P_2,I_1,C_A,0,1000,1000.0,1000.0,1500.0,0.0,0.0,1500.0,1000.0
2016-10-1,20642001,P_3,I_2,C_B,0,0,0.0,100.0,5000.0,,,,
2016-10-1,20642001,P_4,I_2,C_B,500,2500,3000.0,3000.0,2900.0,483.3333333333333,500.0,2416.6666666666665,2500.0
2016-10-1,20642001,P_5,I_3,C_C,0,1500,1500.0,15000.0,15000.0,0.0,0.0,15000.0,15000.0
2016-10-1,20642001,P_6,I_3,C_C,0,90000,90000.0,90000.0,300000.0,0.0,0.0,300000.0,90000.0
2016-10-1,20642001,P_9,I_5,C_E,100000,45000,145000.0,150000.0,150000.0,103448.27586206897,103448.27586206897,46551.724137931036,46551.724137931036
2016-10-1,20642001,P_10,I_5,C_E,0,40000,40000.0,40000.0,3500.0,0.0,0.0,3500.0,40000.0
2016-10-1,20642001,P_11,I_6,C_F,0,100000,130000.0,150000.0,150000.0,0.0,0.0,115384.61538461539,115384.61538461539
2016-10-1,20642001,P_11,I_7,C_G,20000,10000,130000.0,150000.0,150000.0,23076.923076923078,23076.923076923078,11538.461538461539,11538.461538461539
