OBSRVD_AGNT_ID,DT_RFRNC,CNTRCT_ID,INSTRMNT_ID,CRDTR_ID,DBTR_ID,CTV_INSTRMNT,LTV_INSTRMNT,LTV_CRDTR
20642001,2016-10-1,C_A,I_1,20642001,20642219,,11.25,11.25
20642001,2016-10-1,C_B,I_2,20642001,20642202,5.0,4.0,4.0
20642001,2016-10-1,C_C,I_3,20642101,20642218,,0.9836065573770492,0.9836065573770492
20642001,2016-10-1,C_E,I_5,20642001,20642205,,1.0588235294117647,1.0588235294117647
20642001,2016-10-1,C_F,I_6,20642001,20642203,,2.0,0.5
20642001,2016-10-1,C_F,I_6,20642001,20642201,,2.0,0.5
20642001,2016-10-1,C_F,I_6,20642101,20642203,,2.0,0.75
20642001,2016-10-1,C_F,I_6,20642101,20642201,,2.0,0.75
20642001,2016-10-1,C_G,I_7,20642001,20642203,1.01,1.0,0.7
20642001,2016-10-1,C_G,I_7,20642001,20642201,1.01,1.0,0.7
20642001,2016-10-1,C_G,I_7,20642102,20642203,1.01,1.0,0.15
20642001,2016-10-1,C_G,I_7,20642102,20642201,1.01,1.0,0.15
