ADJUSTMENT,DATAFLOW,FREQ,INDEX_BASE,INDEX_TYPE,INSTITUTION,NBB_COICOP,REF_AREA,TIME_PERIOD,OBS_VALUE
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,1,BE,2020-M01,108.53
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,1,BE,2020-M02,109.26
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,1,BE,2020-M03,110.52
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,1,BE,2020-M04,112.25
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,1,BE,2020-M05,112.06
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,1,BE,2020-M06,111.5
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,1,BE,2020-M07,111.73
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,1,BE,2020-M08,111.77
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,1,BE,2020-M09,110.21
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,1,BE,2020-M10,110.52
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,1,BE,2020-M11,109.43
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,1,BE,2020-M12,108.89
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,1,BE,2021-M01,109.88
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,1,BE,2021-M02,109.03
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,1,BE,2021-M03,109.88
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,1,BE,2021-M04,110.91
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,1,BE,2021-M05,110.29
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,1,BE,2021-M06,110.13
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,1,BE,2021-M07,110.76
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,1,BE,2021-M08,111.39
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,1,BE,2021-M09,109.13
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,1,BE,2021-M10,110.17
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,1,BE,2021-M11,109.69
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,1,BE,2021-M12,110.18
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,1,BE,2022-M01,112.49
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,1,BE,2022-M02,113.34
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,1,BE,2022-M03,115.18
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,1,BE,2022-M04,116.79
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,1,BE,2022-M05,117.59
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,1,BE,2022-M06,119.62
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,1,BE,2022-M07,121.52
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,1,BE,2022-M08,122.7
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,1,BE,2022-M09,120.86
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,1,BE,2022-M10,124.4
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,1,BE,2022-M11,126.29
