CNTRCT_ID,DT_RFRNC,INSTRMNT_ID,OBSRVD_AGNT_CD,V_3PSPC_W_3PTPC,V_3PSPC_W_PAV,V_3PTPC_W_3PTPC,V_3PTPC_W_PAV
C_0,2019-06-30,I_0,AT_Bank,0.0,2000000000.0,0.0,2000000000.0
C_CN_CHNGS_OK,2019-06-30,I_CN_CHNGS_OK,AT_Bank,0.0,2000000000.0,0.0,2000000000.0
C_CN0010_ER1,2019-06-30,I_CN0010_ER1,AT_Bank,0.0,2000000000.0,0.0,2000000000.0
C_CN0230_ER1,2019-06-30,I_CN0230_ER1,AT_Bank,0.0,2000000000.0,0.0,2000000000.0
C_CN0230_OK1,2019-06-30,I_CN0230_OK1,AT_Bank,0.0,2000000000.0,0.0,2000000000.0
C_CN0510_ER1,2019-06-30,I_CN0510_ER1,AT_Bank,0.0,2000000000.0,0.0,2000000000.0
C_CN0622_ER1,2019-06-30,I_CN0622_ER1,AT_Bank,0.0,2000000000.0,0.0,2000000000.0
C_CN0660_ER1,2019-06-30,I_CN0660_ER1,AT_Bank,0.0,2000000000.0,0.0,2000000000.0
C_CN0661_ER1,2019-06-30,I_CN0661_ER1,AT_Bank,0.0,2000000000.0,0.0,2000000000.0
C_CN0661_OK1,2019-06-30,I_CN0661_OK1,AT_Bank,0.0,2000000000.0,0.0,2000000000.0
C_CN0811_ER1,2019-06-30,I_CN0811_ER1,AT_Bank,0.0,2000000000.0,0.0,2000000000.0
C_CN0811_OK1,2019-06-30,I_CN0811_OK1,AT_Bank,0.0,2000000000.0,0.0,2000000000.0
C_CN0812_ER1,2019-06-30,I_CN0812_ER1,AT_Bank,0.0,2000000000.0,0.0,2000000000.0
C_CN0812_OK1,2019-06-30,I_CN0812_OK1,AT_Bank,0.0,2000000000.0,0.0,2000000000.0
C_CN0813_ER1,2019-06-30,I_CN0813_ER1,AT_Bank,0.0,2000000000.0,0.0,2000000000.0
C_CN0813_ER2,2019-06-30,I_CN0813_ER2,AT_Bank,0.0,2000000000.0,0.0,2000000000.0
C_CN0813_OK1,2019-06-30,I_CN0813_OK1,AT_Bank,0.0,2000000000.0,0.0,2000000000.0
C_CN0831_ER1,2019-06-30,I_CN0831_ER1,AT_Bank,0.0,2000000000.0,0.0,2000000000.0
C_CN0847_ER1,2019-06-30,I_CN0847_ER1,AT_Bank,0.0,2000000000.0,0.0,2000000000.0
C_CN0868_ER1,2019-06-30,I_CN0868_ER1,AT_Bank,0.0,6000000000.0,0.0,6000000000.0
C_CN0960_ER1,2019-06-30,I_CN0960_ER1,AT_Bank,0.0,2000000000.0,0.0,2000000000.0
C_CN0950_ER1,2019-06-30,I_CN0950_ER1,AT_Bank,0.0,2000000000.0,0.0,2000000000.0
