CNTRCT_ID,ENTTY_RIAD_CD,INSTRMNT_ID,OBSRVD_AGNT_CD,DT_RFRNC,int_var
2D_ONA_null,AL0ECBM00067,JLA_null_1,AT_Bank,2019-06-30,2
2D_ONA_null,EEAS_OA25,JLA_null_1,AT_Bank,2019-06-30,2
2D_ONA_0,AL0ECBM00067,JLA_null_1,AT_Bank,2019-06-30,2
2D_ONA_0,EEAS_OA25,JLA_null_1,AT_Bank,2019-06-30,2
2D_ONA_OK,AL0ECBM00067,JLA_null_1,AT_Bank,2019-06-30,2
2D_ONA_OK,EEAS_OA25,JLA_null_1,AT_Bank,2019-06-30,2
2D_ONA_null,AL0ECBM00067,JLA_0_1,AT_Bank,2019-06-30,2
2D_ONA_null,EEAS_OA25,JLA_0_1,AT_Bank,2019-06-30,2
2D_ONA_0,AL0ECBM00067,JLA_0_1,AT_Bank,2019-06-30,2
2D_ONA_0,EEAS_OA25,JLA_0_1,AT_Bank,2019-06-30,2
2D_ONA_OK,AL0ECBM00067,JLA_0_1,AT_Bank,2019-06-30,2
2D_ONA_OK,EEAS_OA25,JLA_0_1,AT_Bank,2019-06-30,2
3D_ONA_OK,AL0ECBM00067,JLA_smaller_1,AT_Bank,2019-06-30,2
3D_ONA_OK,EEAS_OA25,JLA_smaller_1,AT_Bank,2019-06-30,2
3D_ONA_OK,AL0ECBM00067,JLA_equal_1,AT_Bank,2019-06-30,2
3D_ONA_OK,EEAS_OA25,JLA_equal_1,AT_Bank,2019-06-30,2
3D_ONA_OK,AL0ECBM00067,JLA_greater_1,AT_Bank,2019-06-30,2
3D_ONA_OK,EEAS_OA25,JLA_greater_1,AT_Bank,2019-06-30,2
3D_ONA_null,AL0ECBM00067,JLA_null_all,AT_Bank,2019-06-30,2
3D_ONA_null,EEAS_OA25,JLA_null_all,AT_Bank,2019-06-30,2
3D_ONA_0,AL0ECBM00067,JLA_null_all,AT_Bank,2019-06-30,2
3D_ONA_0,EEAS_OA25,JLA_null_all,AT_Bank,2019-06-30,2
3D_ONA_OK,AL0ECBM00067,JLA_null_all,AT_Bank,2019-06-30,2
3D_ONA_OK,EEAS_OA25,JLA_null_all,AT_Bank,2019-06-30,2
3D_ONA_null,AL0ECBM00067,JLA_0_all,AT_Bank,2019-06-30,2
3D_ONA_null,EEAS_OA25,JLA_0_all,AT_Bank,2019-06-30,2
3D_ONA_0,AL0ECBM00067,JLA_0_all,AT_Bank,2019-06-30,2
3D_ONA_0,EEAS_OA25,JLA_0_all,AT_Bank,2019-06-30,2
3D_ONA_OK,AL0ECBM00067,JLA_0_all,AT_Bank,2019-06-30,2
3D_ONA_OK,EEAS_OA25,JLA_0_all,AT_Bank,2019-06-30,2
3D_ONA_OK,AL0ECBM00067,JLA_smaller_all,AT_Bank,2019-06-30,2
3D_ONA_OK,EEAS_OA25,JLA_smaller_all,AT_Bank,2019-06-30,2
3D_ONA_OK,AL0ECBM00067,JLA_equal_all,AT_Bank,2019-06-30,2
3D_ONA_OK,EEAS_OA25,JLA_equal_all,AT_Bank,2019-06-30,2
3D_ONA_OK,AL0ECBM00067,JLA_greater_all,AT_Bank,2019-06-30,2
3D_ONA_OK,EEAS_OA25,JLA_greater_all,AT_Bank,2019-06-30,2
