CNTRCT_ID,DT_RFRNC,DBTR_ID,INSTRMNT_ID,OBSRVD_AGNT_CD,CRDTR_ID,DT_END_INTRST_ONLY,DT_INCPTN,DT_PST_D,DT_LGL_FNL_MTRTY
C_0,2019-06-30,AL0ECBM00067,I_0,AT_Bank,AT_Bank,,2016-07-01,,2021-06-30
1D_ONA_null,2019-06-30,AL0ECBM00067,JLA_null,AT_Bank,AT_Bank,,2016-07-01,,2021-06-30
1D_ONA_0,2019-06-30,AL0ECBM00067,JLA_null,AT_Bank,AT_Bank,,2016-07-01,,2021-06-30
1D_ONA_OK,2019-06-30,AL0ECBM00067,JLA_null,AT_Bank,AT_Bank,,2016-07-01,,2021-06-30
1D_ONA_null,2019-06-30,AL0ECBM00067,JLA_0,AT_Bank,AT_Bank,,2016-07-01,,2021-06-30
1D_ONA_0,2019-06-30,AL0ECBM00067,JLA_0,AT_Bank,AT_Bank,,2016-07-01,,2021-06-30
1D_ONA_OK,2019-06-30,AL0ECBM00067,JLA_0,AT_Bank,AT_Bank,,2016-07-01,,2021-06-30
1D_ONA_OK,2019-06-30,AL0ECBM00067,JLA_smaller,AT_Bank,AT_Bank,,2016-07-01,,2021-06-30
1D_ONA_OK,2019-06-30,AL0ECBM00067,JLA_equal,AT_Bank,AT_Bank,,2016-07-01,,2021-06-30
1D_ONA_OK,2019-06-30,AL0ECBM00067,JLA_greater,AT_Bank,AT_Bank,,2016-07-01,,2021-06-30
2D_ONA_null,2019-06-30,AL0ECBM00067,JLA_null_1,AT_Bank,AT_Bank,,2016-07-01,,2021-06-30
2D_ONA_null,2019-06-30,EEAS_OA25,JLA_null_1,AT_Bank,AT_Bank,,2016-07-01,,2021-06-30
2D_ONA_0,2019-06-30,AL0ECBM00067,JLA_null_1,AT_Bank,AT_Bank,,2016-07-01,,2021-06-30
2D_ONA_0,2019-06-30,EEAS_OA25,JLA_null_1,AT_Bank,AT_Bank,,2016-07-01,,2021-06-30
2D_ONA_OK,2019-06-30,AL0ECBM00067,JLA_null_1,AT_Bank,AT_Bank,,2016-07-01,,2021-06-30
2D_ONA_OK,2019-06-30,EEAS_OA25,JLA_null_1,AT_Bank,AT_Bank,,2016-07-01,,2021-06-30
2D_ONA_null,2019-06-30,AL0ECBM00067,JLA_0_1,AT_Bank,AT_Bank,,2016-07-01,,2021-06-30
2D_ONA_null,2019-06-30,EEAS_OA25,JLA_0_1,AT_Bank,AT_Bank,,2016-07-01,,2021-06-30
