DT_RFRNC,OBSRVD_AGNT_CD,PRTCTN_ID,PRTCTN_VL,ORGNL_PRTCTN_VL
2019-06-30,AT_Bank,P_0,200000.0,300000.0
2019-06-30,AT_Bank,P_CN0010_ER1,200000.0,300000.0
2019-06-30,AT_Bank,P_CN0230_ER1,200000.0,300000.0
2019-06-30,AT_Bank,P_CN0230_OK1,200000.0,300000.0
2019-06-30,AT_Bank,P_CN0510_ER1,200000.0,300000.0
2019-06-30,AT_Bank,P_CN0622_ER1,200000.0,300000.0
2019-06-30,AT_Bank,P_CN0660_ER1,200000.0,300000.0
2019-06-30,AT_Bank,P_CN0831_ER1,200000.0,300000.0
2019-06-30,AT_Bank,P_CN0847_ER1,200000.0,300000.0
2019-06-30,AT_Bank,P_CN0868_ER1,200000.0,300000.0
2019-06-30,AT_Bank,P_CN0661_ER1,200000.0,300000.0
2019-06-30,AT_Bank,P_CN0661_OK1,200000.0,300000.0
2019-06-30,AT_Bank,P_CN0811_ER1,200000.0,300000.0
2019-06-30,AT_Bank,P_CN0811_OK1,200000.0,300000.0
2019-06-30,AT_Bank,P_CN0812_ER1,200000.0,300000.0
2019-06-30,AT_Bank,P_CN0812_OK1,200000.0,300000.0
2019-06-30,AT_Bank,P_CN0813_ER1,200000.0,300000.0
2019-06-30,AT_Bank,P_CN0813_ER2,200000.0,300000.0
2019-06-30,AT_Bank,P_CN0813_OK1,200000.0,300000.0
2019-06-30,AT_Bank,P_CN_CHNGS_OK,200000.0,300000.0
2019-06-30,AT_Bank,P_CN0960_ER1,200000.0,300000.0
2019-06-30,AT_Bank,P_CN0950_ER2,200000.0,300000.0
