CNTRCT_ID,DT_RFRNC,DBTR_ID,INSTRMNT_ID,OBSRVD_AGNT_CD,CRDTR_ID,DFLT_STTS_INSTRMNT,DT_DFLT_STTS_INSTRMNT
C_0,2019-06-30,AL0ECBM00067,I_0,AT_Bank,AT_Bank,14,2016-08-01
1D_ONA_null,2019-06-30,AL0ECBM00067,JLA_null,AT_Bank,AT_Bank,14,2016-08-01
1D_ONA_0,2019-06-30,AL0ECBM00067,JLA_null,AT_Bank,AT_Bank,14,2016-08-01
1D_ONA_OK,2019-06-30,AL0ECBM00067,JLA_null,AT_Bank,AT_Bank,14,2016-08-01
1D_ONA_null,2019-06-30,AL0ECBM00067,JLA_0,AT_Bank,AT_Bank,14,2016-08-01
1D_ONA_0,2019-06-30,AL0ECBM00067,JLA_0,AT_Bank,AT_Bank,14,2016-08-01
1D_ONA_OK,2019-06-30,AL0ECBM00067,JLA_0,AT_Bank,AT_Bank,14,2016-08-01
1D_ONA_OK,2019-06-30,AL0ECBM00067,JLA_smaller,AT_Bank,AT_Bank,14,2016-08-01
1D_ONA_OK,2019-06-30,AL0ECBM00067,JLA_equal,AT_Bank,AT_Bank,14,2016-08-01
1D_ONA_OK,2019-06-30,AL0ECBM00067,JLA_greater,AT_Bank,AT_Bank,14,2016-08-01
2D_ONA_null,2019-06-30,AL0ECBM00067,JLA_null_1,AT_Bank,AT_Bank,14,2016-08-01
2D_ONA_null,2019-06-30,EEAS_OA25,JLA_null_1,AT_Bank,AT_Bank,14,2016-08-01
2D_ONA_0,2019-06-30,AL0ECBM00067,JLA_null_1,AT_Bank,AT_Bank,14,2016-08-01
2D_ONA_0,2019-06-30,EEAS_OA25,JLA_null_1,AT_Bank,AT_Bank,14,2016-08-01
2D_ONA_OK,2019-06-30,AL0ECBM00067,JLA_null_1,AT_Bank,AT_Bank,14,2016-08-01
2D_ONA_OK,2019-06-30,EEAS_OA25,JLA_null_1,AT_Bank,AT_Bank,14,2016-08-01
2D_ONA_null,2019-06-30,AL0ECBM00067,JLA_0_1,AT_Bank,AT_Bank,14,2016-08-01
2D_ONA_null,2019-06-30,EEAS_OA25,JLA_0_1,AT_Bank,AT_Bank,14,2016-08-01
2D_ONA_0,2019-06-30,AL0ECBM00067,JLA_0_1,AT_Bank,AT_Bank,14,2016-08-01
2D_ONA_0,2019-06-30,EEAS_OA25,JLA_0_1,AT_Bank,AT_Bank,14,2016-08-01
2D_ONA_OK,2019-06-30,AL0ECBM00067,JLA_0_1,AT_Bank,AT_Bank,14,2016-08-01
2D_ONA_OK,2019-06-30,EEAS_OA25,JLA_0_1,AT_Bank,AT_Bank,14,2016-08-01
3D_ONA_OK,2019-06-30,AL0ECBM00067,JLA_smaller_1,AT_Bank,AT_Bank,14,2016-08-01
3D_ONA_OK,2019-06-30,EEAS_OA25,JLA_smaller_1,AT_Bank,AT_Bank,14,2016-08-01
3D_ONA_OK,2019-06-30,AL0ECBM00067,JLA_equal_1,AT_Bank,AT_Bank,14,2016-08-01
3D_ONA_OK,2019-06-30,EEAS_OA25,JLA_equal_1,AT_Bank,AT_Bank,14,2016-08-01
3D_ONA_OK,2019-06-30,AL0ECBM00067,JLA_greater_1,AT_Bank,AT_Bank,14,2016-08-01
3D_ONA_OK,2019-06-30,EEAS_OA25,JLA_greater_1,AT_Bank,AT_Bank,14,2016-08-01
3D_ONA_null,2019-06-30,AL0ECBM00067,JLA_null_all,AT_Bank,AT_Bank,14,2016-08-01
3D_ONA_null,2019-06-30,EEAS_OA25,JLA_null_all,AT_Bank,AT_Bank,14,2016-08-01
3D_ONA_0,2019-06-30,AL0ECBM00067,JLA_null_all,AT_Bank,AT_Bank,14,2016-08-01
3D_ONA_0,2019-06-30,EEAS_OA25,JLA_null_all,AT_Bank,AT_Bank,14,2016-08-01
3D_ONA_OK,2019-06-30,AL0ECBM00067,JLA_null_all,AT_Bank,AT_Bank,14,2016-08-01
3D_ONA_OK,2019-06-30,EEAS_OA25,JLA_null_all,AT_Bank,AT_Bank,14,2016-08-01
3D_ONA_null,2019-06-30,AL0ECBM00067,JLA_0_all,AT_Bank,AT_Bank,14,2016-08-01
3D_ONA_null,2019-06-30,EEAS_OA25,JLA_0_all,AT_Bank,AT_Bank,14,2016-08-01
3D_ONA_0,2019-06-30,AL0ECBM00067,JLA_0_all,AT_Bank,AT_Bank,14,2016-08-01
3D_ONA_0,2019-06-30,EEAS_OA25,JLA_0_all,AT_Bank,AT_Bank,14,2016-08-01
3D_ONA_OK,2019-06-30,AL0ECBM00067,JLA_0_all,AT_Bank,AT_Bank,14,2016-08-01
3D_ONA_OK,2019-06-30,EEAS_OA25,JLA_0_all,AT_Bank,AT_Bank,14,2016-08-01
3D_ONA_OK,2019-06-30,AL0ECBM00067,JLA_smaller_all,AT_Bank,AT_Bank,14,2016-08-01
3D_ONA_OK,2019-06-30,EEAS_OA25,JLA_smaller_all,AT_Bank,AT_Bank,14,2016-08-01
3D_ONA_OK,2019-06-30,AL0ECBM00067,JLA_equal_all,AT_Bank,AT_Bank,14,2016-08-01
3D_ONA_OK,2019-06-30,EEAS_OA25,JLA_equal_all,AT_Bank,AT_Bank,14,2016-08-01
3D_ONA_OK,2019-06-30,AL0ECBM00067,JLA_greater_all,AT_Bank,AT_Bank,14,2016-08-01
3D_ONA_OK,2019-06-30,EEAS_OA25,JLA_greater_all,AT_Bank,AT_Bank,14,2016-08-01
