CNTRCT_ID,DT_RFRNC,ENTTY_RIAD_CD,INSTRMNT_ID,OBSRVD_AGNT_CD,DFLT_STTS_INSTRMNT,NEVS_DFLT_STTS_INSTRMNT,DT_DFLT_STTS_INSTRMNT,NEVS_DT_DFLT_STTS_INSTRMNT,DFLT_STTS,DT_DFLT_STTS,NEVS_DFLT_STTS,NEVS_DT_DFLT_STTS,NEVS_PD,PD,ACCNTNG_FRMWRK_SL,ANCRDT_DRGTN_QRTR_CR_OA,ANNL_TRNVR,BLNC_SHT_TTL,CNTRY,CTY,DT_BRTH,DT_ENTRPRS_SZ,DT_INTTN_LGL_PRCDNGS,ECNMC_ACTVTY,ENTRPRS_SZ,HD_OFFC_UNDRT_CD,HD_OFFC_UNDRT_CNTRY,IMMDT_PRNT_UNDRT_CD,INSTTTNL_SCTR,INSTTTNL_SCTR_DTL,LEI,LGL_FRM,LGL_PRCDNG_STTS,NMBR_EMPLYS,NM_ENTTY,PSTL_CD,SSMSIGNIFICANCE,STRT,TRRTRL_UNT,ULTMT_PRNT_UNDRT_CD
C_CN0848_ER1,2017-03-31,FIAS_OA_BRA,I_CN0848_ER1,EEAS_OA26,14,,2016-08-01,,14,2010-07-03,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,
C_CN0848_ER3,2017-03-31,LVAS_OA_BRA,I_CN0848_ER3,EEAS_OA26,14,,2016-08-01,,14,2010-07-04,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,
C_CN0621_ER1,2017-03-31,EEAS_OA26,I_CN0621_ER1,EEAS_OA26,14,,2016-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C_0,2017-03-31,ITTS_ENT_40,I_0,EEAS_OA26,14,,2016-08-01,,14,2010-07-01,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,
C_CN0010_ER1,2017-03-31,ITTS_ENT_40,I_CN0010_ER1,EEAS_OA26,14,,2016-08-01,,14,2010-07-01,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,
C_CN0040_ER1,2017-03-31,ITTS_ENT_40,I_CN0040_ER1,EEAS_OA26,14,,2016-08-01,,14,2010-07-01,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,
C_CN0050_ER1,2017-03-31,ITTS_ENT_40,I_CN0050_ER1,EEAS_OA26,14,,2016-08-01,,14,2010-07-01,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,
C_CN0090_ER1,2017-03-31,ITTS_ENT_40,I_CN0090_ER1,EEAS_OA26,14,,2016-08-01,,14,2010-07-01,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,
C_CN0100_ER1,2017-03-31,ITTS_ENT_40,I_CN0100_ER1,EEAS_OA26,14,,2016-08-01,,14,2010-07-01,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,
C_CN0130_ER1,2017-03-31,ITTS_ENT_40,I_CN0130_ER1,EEAS_OA26,14,,2016-08-01,,14,2010-07-01,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,
C_CN0130_OK1,2017-03-31,ITTS_ENT_40,I_CN0130_OK1,EEAS_OA26,14,,2016-08-01,,14,2010-07-01,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,
C_CN0210_ER1,2017-03-31,ITTS_ENT_40,I_CN0210_ER1,EEAS_OA26,14,,2016-08-01,,14,2010-07-01,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,
C_CN0230_ER1,2017-03-31,ITTS_ENT_40,I_CN0230_ER1,EEAS_OA26,14,,2016-08-01,,14,2010-07-01,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,
C_CN0230_OK1,2017-03-31,ITTS_ENT_40,I_CN0230_OK1,EEAS_OA26,14,,2016-08-01,,14,2010-07-01,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,
C_CN0240_ER1,2017-03-31,ITTS_ENT_40,I_CN0240_ER1,EEAS_OA26,14,,2018-08-01,,14,2010-07-01,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,
C_CN0250_ER1,2017-03-31,ITTS_ENT_40,I_CN0250_ER1,EEAS_OA26,14,,2016-08-01,,14,2010-07-01,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,
C_CN0270_ER2,2017-03-31,ITTS_ENT_40,I_CN0270_ER2,EEAS_OA26,14,,2016-08-01,,14,2010-07-01,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,
C_CN0270_OK2,2017-03-31,ITTS_ENT_40,I_CN0270_OK2,EEAS_OA26,14,,2016-08-01,,14,2010-07-01,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,
C_CN0280_ER1,2017-03-31,ITTS_ENT_40,I_CN0280_ER1,EEAS_OA26,20,,2016-08-01,,14,2010-07-01,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,
C_CN0310_ER1,2017-03-31,ITTS_ENT_40,I_CN0310_ER1,EEAS_OA26,20,,2016-08-01,,14,2010-07-01,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,
C_CN0310_OK1,2017-03-31,ITTS_ENT_40,I_CN0310_OK1,EEAS_OA26,20,,2016-08-01,,14,2010-07-01,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,
C_CN0320_ER1,2017-03-31,ITTS_ENT_40,I_CN0320_ER1,EEAS_OA26,14,,2016-08-01,,14,2010-07-01,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,
C_CN0330_ER1,2017-03-31,ITTS_ENT_40,I_CN0330_ER1,EEAS_OA26,14,,2016-08-01,,14,2010-07-01,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,
C_CN0400_ER1,2017-03-31,ITTS_ENT_40,I_CN0400_ER1,EEAS_OA26,14,,2016-08-01,,14,2010-07-01,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,
C_CN0410_ER1,2017-03-31,ITTS_ENT_40,I_CN0410_ER1,EEAS_OA26,14,,2016-08-01,,14,2010-07-01,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,
C_CN0420_ER1,2017-03-31,ITTS_ENT_40,I_CN0420_ER1,EEAS_OA26,14,,2016-08-01,,14,2010-07-01,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,
C_CN0420_ER2,2017-03-31,ITTS_ENT_40,I_CN0420_ER2,EEAS_OA26,14,,2016-08-01,,14,2010-07-01,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,
C_CN0420_OK1,2017-03-31,ITTS_ENT_40,I_CN0420_OK1,EEAS_OA26,14,,2016-08-01,,14,2010-07-01,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,
C_CN0470_ER1,2017-03-31,ITTS_ENT_40,I_CN0470_ER1,EEAS_OA26,14,,2016-08-01,,14,2010-07-01,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,
C_CN0510_ER1,2017-03-31,ITTS_ENT_40,I_CN0510_ER1,EEAS_OA26,14,,2016-08-01,,14,2010-07-01,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,
C_CN0540_ER1,2017-03-31,ITTS_ENT_40,I_CN0540_ER1,EEAS_OA26,14,,2016-08-01,,14,2010-07-01,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,
C_CN0590_ER1,2017-03-31,ITTS_ENT_40,I_CN0590_ER1,EEAS_OA26,14,,2016-08-01,,14,2010-07-01,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,
C_CN0620_ER1,2017-03-31,ITTS_ENT_40,I_CN0620_ER1,EEAS_OA26,14,,2016-08-01,,14,2010-07-01,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,
C_CN0620_OK1,2017-03-31,ITTS_ENT_40,I_CN0620_OK1,EEAS_OA26,14,,2016-08-01,,14,2010-07-01,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,
C_CN0622_ER1,2017-03-31,ITTS_ENT_40,I_CN0622_ER1,EEAS_OA26,14,,2016-08-01,,14,2010-07-01,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,
C_CN0660_ER1,2017-03-31,ITTS_ENT_40,I_CN0660_ER1,EEAS_OA26,14,,2016-08-01,,14,2010-07-01,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,
C_CN0700_ER1,2017-03-31,ITTS_ENT_40,I_CN0700_ER1,EEAS_OA26,14,,2016-08-01,,14,2010-07-01,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,
C_CN0700_OK1,2017-03-31,ITTS_ENT_40,I_CN0700_OK1,EEAS_OA26,14,,2016-08-01,,14,2010-07-01,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,
C_CN0700_OK2,2017-03-31,ITTS_ENT_40,I_CN0700_OK2,EEAS_OA26,14,,2016-08-01,,14,2010-07-01,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,
C_CN0701_ER1,2017-03-31,ITTS_ENT_40,I_CN0701_ER1,EEAS_OA26,14,,2016-08-01,,14,2010-07-01,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,
C_CN0702_ER1,2017-03-31,ITTS_ENT_40,I_CN0702_ER1,EEAS_OA26,14,,2016-08-01,,14,2010-07-01,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,
C_CN0703_ER1,2017-03-31,ITTS_ENT_40,I_CN0703_ER1,EEAS_OA26,14,,2016-08-01,,14,2010-07-01,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,
C_CN0814_ER1,2017-03-31,ITTS_ENT_40,I_CN0814_ER1,EEAS_OA26,14,,2016-08-01,,14,2010-07-01,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,
C_CN0821_ER1,2017-03-31,ITTS_ENT_40,I_CN0821_ER1,EEAS_OA26,14,,2016-08-01,,14,2010-07-01,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,
C_CN0821_OK1,2017-03-31,ITTS_ENT_40,I_CN0821_OK1,EEAS_OA26,14,,2016-08-01,,14,2010-07-01,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,
