CNTRCT_ID,DT_RFRNC,INSTRMNT_ID,OBSRVD_AGNT_CD,CD0020,CD0030,CD0039,CD0040,CD0041,CD0050,CD0060,CD0170
C_0,2019-06-30,I_0,AT_Bank,,,,,,True,,
1D_ONA_null,2019-06-30,JLA_null,AT_Bank,,,True,,,True,,
1D_ONA_0,2019-06-30,JLA_null,AT_Bank,,,True,,,True,,
1D_ONA_OK,2019-06-30,JLA_null,AT_Bank,,,True,,,True,,
1D_ONA_null,2019-06-30,JLA_0,AT_Bank,,,True,,,True,,
1D_ONA_0,2019-06-30,JLA_0,AT_Bank,,,True,,,True,,
1D_ONA_OK,2019-06-30,JLA_0,AT_Bank,,,True,,,True,,
1D_ONA_OK,2019-06-30,JLA_smaller,AT_Bank,,,True,,,True,,
1D_ONA_OK,2019-06-30,JLA_equal,AT_Bank,,,True,,,True,,
1D_ONA_OK,2019-06-30,JLA_greater,AT_Bank,,,True,,,True,,
2D_ONA_null,2019-06-30,JLA_null_1,AT_Bank,,,True,,,True,,
2D_ONA_0,2019-06-30,JLA_null_1,AT_Bank,,,True,,,True,,
2D_ONA_OK,2019-06-30,JLA_null_1,AT_Bank,,,True,,,True,,
2D_ONA_null,2019-06-30,JLA_0_1,AT_Bank,,,True,,,True,,
2D_ONA_0,2019-06-30,JLA_0_1,AT_Bank,,,True,,,True,,
2D_ONA_OK,2019-06-30,JLA_0_1,AT_Bank,,,True,,,True,,
3D_ONA_OK,2019-06-30,JLA_smaller_1,AT_Bank,,,True,,,True,,
3D_ONA_OK,2019-06-30,JLA_equal_1,AT_Bank,,,True,,,True,,
3D_ONA_OK,2019-06-30,JLA_greater_1,AT_Bank,,,True,,,True,,
3D_ONA_null,2019-06-30,JLA_null_all,AT_Bank,,,True,,,True,,
3D_ONA_0,2019-06-30,JLA_null_all,AT_Bank,,,True,,,True,,
3D_ONA_OK,2019-06-30,JLA_null_all,AT_Bank,,,True,,,True,,
3D_ONA_null,2019-06-30,JLA_0_all,AT_Bank,,,True,,,True,,
3D_ONA_0,2019-06-30,JLA_0_all,AT_Bank,,,True,,,True,,
3D_ONA_OK,2019-06-30,JLA_0_all,AT_Bank,,,True,,,True,,
3D_ONA_OK,2019-06-30,JLA_smaller_all,AT_Bank,,,True,,,True,,
3D_ONA_OK,2019-06-30,JLA_equal_all,AT_Bank,,,True,,,True,,
3D_ONA_OK,2019-06-30,JLA_greater_all,AT_Bank,,,True,,,True,,
