CNTRCT_ID,ENTTY_RIAD_CD,INSTRMNT_ID,OBSRVD_AGNT_CD,DT_RFRNC
C_0,AT_Bank,I_0,AT_Bank,2019-06-30
1D_ONA_null,AT_Bank,JLA_null,AT_Bank,2019-06-30
1D_ONA_0,AT_Bank,JLA_null,AT_Bank,2019-06-30
1D_ONA_OK,AT_Bank,JLA_null,AT_Bank,2019-06-30
1D_ONA_null,AT_Bank,JLA_0,AT_Bank,2019-06-30
1D_ONA_0,AT_Bank,JLA_0,AT_Bank,2019-06-30
1D_ONA_OK,AT_Bank,JLA_0,AT_Bank,2019-06-30
1D_ONA_OK,AT_Bank,JLA_smaller,AT_Bank,2019-06-30
1D_ONA_OK,AT_Bank,JLA_equal,AT_Bank,2019-06-30
1D_ONA_OK,AT_Bank,JLA_greater,AT_Bank,2019-06-30
2D_ONA_null,AT_Bank,JLA_null_1,AT_Bank,2019-06-30
2D_ONA_0,AT_Bank,JLA_null_1,AT_Bank,2019-06-30
2D_ONA_OK,AT_Bank,JLA_null_1,AT_Bank,2019-06-30
2D_ONA_null,AT_Bank,JLA_0_1,AT_Bank,2019-06-30
2D_ONA_0,AT_Bank,JLA_0_1,AT_Bank,2019-06-30
2D_ONA_OK,AT_Bank,JLA_0_1,AT_Bank,2019-06-30
3D_ONA_OK,AT_Bank,JLA_smaller_1,AT_Bank,2019-06-30
3D_ONA_OK,AT_Bank,JLA_equal_1,AT_Bank,2019-06-30
3D_ONA_OK,AT_Bank,JLA_greater_1,AT_Bank,2019-06-30
3D_ONA_null,AT_Bank,JLA_null_all,AT_Bank,2019-06-30
3D_ONA_0,AT_Bank,JLA_null_all,AT_Bank,2019-06-30
3D_ONA_OK,AT_Bank,JLA_null_all,AT_Bank,2019-06-30
3D_ONA_null,AT_Bank,JLA_0_all,AT_Bank,2019-06-30
3D_ONA_0,AT_Bank,JLA_0_all,AT_Bank,2019-06-30
3D_ONA_OK,AT_Bank,JLA_0_all,AT_Bank,2019-06-30
3D_ONA_OK,AT_Bank,JLA_smaller_all,AT_Bank,2019-06-30
3D_ONA_OK,AT_Bank,JLA_equal_all,AT_Bank,2019-06-30
3D_ONA_OK,AT_Bank,JLA_greater_all,AT_Bank,2019-06-30
