OBSRVD_AGNT_CD,DT_RFRNC,CNTRCT_ID,INSTRMNT_ID,PRTCTN_ID,PRTCTN_PRVDR_CD,PRTCTN_ALLCTD_VL,THRD_PRTY_PRRTY_CLMS
AT_Bank,2019-06-30,C_0,I_0,P_0,ITTS_ENT_40,100000,20000
AT_Bank,2019-06-30,C_CN_CHNGS_OK,I_CN_CHNGS_OK,P_CN_CHNGS_OK,ITTS_ENT_40,100000,20000
AT_Bank,2019-06-30,C_CN0010_ER1,I_CN0010_ER1,P_CN0010_ER1,ITTS_ENT_40,100000,20000
AT_Bank,2019-06-30,C_CN0230_ER1,I_CN0230_ER1,P_CN0230_ER1,ITTS_ENT_40,100000,20000
AT_Bank,2019-06-30,C_CN0230_OK1,I_CN0230_OK1,P_CN0230_OK1,ITTS_ENT_40,100000,20000
AT_Bank,2019-06-30,C_CN0510_ER1,I_CN0510_ER1,P_CN0510_ER1,ITTS_ENT_40,100000,20000
AT_Bank,2019-06-30,C_CN0622_ER1,I_CN0622_ER1,P_CN0622_ER1,AL0ECBM00067,100000,20000
AT_Bank,2019-06-30,C_CN0660_ER1,I_CN0660_ER1,P_CN0660_ER1,ITTS_ENT_40,100000,20000
AT_Bank,2019-06-30,C_CN0661_ER1,I_CN0661_ER1,P_CN0661_ER1,ITTS_ENT_40,100000,20000
AT_Bank,2019-06-30,C_CN0661_OK1,I_CN0661_OK1,P_CN0661_OK1,ITTS_ENT_40,100000,20000
AT_Bank,2019-06-30,C_CN0811_ER1,I_CN0811_ER1,P_CN0811_ER1,ITTS_ENT_40,100000,20000
AT_Bank,2019-06-30,C_CN0811_OK1,I_CN0811_OK1,P_CN0811_OK1,ITTS_ENT_40,100000,20000
AT_Bank,2019-06-30,C_CN0812_ER1,I_CN0812_ER1,P_CN0812_ER1,ITTS_ENT_40,100000,20000
AT_Bank,2019-06-30,C_CN0812_OK1,I_CN0812_OK1,P_CN0812_OK1,ITTS_ENT_40,100000,20000
AT_Bank,2019-06-30,C_CN0813_ER1,I_CN0813_ER1,P_CN0813_ER1,ITTS_ENT_40,100000,20000
AT_Bank,2019-06-30,C_CN0813_ER2,I_CN0813_ER2,P_CN0813_ER2,ITTS_ENT_40,100000,20000
AT_Bank,2019-06-30,C_CN0813_OK1,I_CN0813_OK1,P_CN0813_OK1,ITTS_ENT_40,100000,20000
AT_Bank,2019-06-30,C_CN0831_ER1,I_CN0831_ER1,P_CN0831_ER1,ITTS_ENT_40,100000,20000
AT_Bank,2019-06-30,C_CN0847_ER1,I_CN0847_ER1,P_CN0847_ER1,ITTS_ENT_40,100000,20000
AT_Bank,2019-06-30,C_CN0868_ER1,I_CN0868_ER1,P_CN0868_ER1,ITTS_ENT_40,300000,20000
AT_Bank,2019-06-30,C_CN0960_ER1,I_CN0960_ER1,P_CN0960_ER1,ITTS_ENT_40,100000,20000
