CNTRCT_ID,DT_RFRNC,INSTRMNT_ID,OBSRVD_AGNT_CD,OTSTNDNG_NMNL_AMNT,OFF_BLNC_SHT_AMNT,ACCMLTD_WRTFFS,RCGNTN_STTS
C_0,2019-06-30,I_0,AT_Bank,1000000.0,50000,,
1D_ONA_null,2019-06-30,JLA_null,AT_Bank,,50000,,
1D_ONA_0,2019-06-30,JLA_null,AT_Bank,0.0,50000,,
1D_ONA_OK,2019-06-30,JLA_null,AT_Bank,1000000.0,50000,,
1D_ONA_null,2019-06-30,JLA_0,AT_Bank,,50000,,
1D_ONA_0,2019-06-30,JLA_0,AT_Bank,0.0,50000,,
1D_ONA_OK,2019-06-30,JLA_0,AT_Bank,1000000.0,50000,,
1D_ONA_OK,2019-06-30,JLA_smaller,AT_Bank,1000000.0,50000,,
1D_ONA_OK,2019-06-30,JLA_equal,AT_Bank,1000000.0,50000,,
1D_ONA_OK,2019-06-30,JLA_greater,AT_Bank,1000000.0,50000,,
2D_ONA_null,2019-06-30,JLA_null_1,AT_Bank,,50000,,
2D_ONA_0,2019-06-30,JLA_null_1,AT_Bank,0.0,50000,,
2D_ONA_OK,2019-06-30,JLA_null_1,AT_Bank,1000000.0,50000,,
2D_ONA_null,2019-06-30,JLA_0_1,AT_Bank,,50000,,
2D_ONA_0,2019-06-30,JLA_0_1,AT_Bank,0.0,50000,,
2D_ONA_OK,2019-06-30,JLA_0_1,AT_Bank,1000000.0,50000,,
3D_ONA_OK,2019-06-30,JLA_smaller_1,AT_Bank,1000000.0,50000,,
3D_ONA_OK,2019-06-30,JLA_equal_1,AT_Bank,1000000.0,50000,,
3D_ONA_OK,2019-06-30,JLA_greater_1,AT_Bank,1000000.0,50000,,
3D_ONA_null,2019-06-30,JLA_null_all,AT_Bank,,50000,,
3D_ONA_0,2019-06-30,JLA_null_all,AT_Bank,0.0,50000,,
3D_ONA_OK,2019-06-30,JLA_null_all,AT_Bank,1000000.0,50000,,
3D_ONA_null,2019-06-30,JLA_0_all,AT_Bank,,50000,,
3D_ONA_0,2019-06-30,JLA_0_all,AT_Bank,0.0,50000,,
3D_ONA_OK,2019-06-30,JLA_0_all,AT_Bank,1000000.0,50000,,
3D_ONA_OK,2019-06-30,JLA_smaller_all,AT_Bank,1000000.0,50000,,
3D_ONA_OK,2019-06-30,JLA_equal_all,AT_Bank,1000000.0,50000,,
3D_ONA_OK,2019-06-30,JLA_greater_all,AT_Bank,1000000.0,50000,,
