DT_RFRNC,OBSRVD_AGNT_ID,PRTCTN_ID,INSTRMNT_ID,CNTRCT_ID,THRD_PRTY_PRRTY_CLMS,PRTCTN_ALLCTD_VL,DNMNTR,PRTCTN_VL_TTL_PRTCTN,ORGNL_PRTCTN_VL_PRTCTN
2016-10-1,20642001,P_1,I_1,C_A,0,7000,7000.0,7000.0,7000.0
2016-10-1,20642001,P_2,I_1,C_A,0,1000,1000.0,1000.0,1500.0
2016-10-1,20642001,P_3,I_2,C_B,0,0,0.0,100.0,5000.0
2016-10-1,20642001,P_4,I_2,C_B,500,2500,3000.0,3000.0,2900.0
2016-10-1,20642001,P_5,I_3,C_C,0,1500,1500.0,15000.0,15000.0
2016-10-1,20642001,P_6,I_3,C_C,0,90000,90000.0,90000.0,300000.0
2016-10-1,20642001,P_9,I_5,C_E,100000,45000,145000.0,150000.0,150000.0
2016-10-1,20642001,P_10,I_5,C_E,0,40000,40000.0,40000.0,3500.0
2016-10-1,20642001,P_11,I_6,C_F,0,100000,130000.0,150000.0,150000.0
2016-10-1,20642001,P_11,I_7,C_G,20000,10000,130000.0,150000.0,150000.0
