OBSRVD_AGNT_ID,DT_RFRNC,CNTRCT_ID,INSTRMNT_ID,CRDTR_ID,DBTR_ID,CV_3PPC,CV_ACCMLTD_CHNGS_FV_CR,CV_ACCMLTD_IMPRMNT,CV_ACCMLTD_WRTFFS,CV_ACCRD_INTRST,CV_ARRRS,CV_CHNGS_FV_CR_BFR_PRCHS,CV_CMLTV_RCVRS_SNC_DFLT,CV_CMMTMNT_INCPTN,CV_CRRYNG_AMNT,CV_OFF_BLNC_SHT_AMNT,CV_OTSTNDNG_NMNL_AMNT,CV_PRTCTN_ALLCTD_VL,CV_PRVSNS_OFF_BLNC_SHT,DV_3PPC,DV_ACCMLTD_CHNGS_FV_CR,DV_ACCMLTD_IMPRMNT,DV_ACCMLTD_WRTFFS,DV_ACCRD_INTRST,DV_ARRRS,DV_CHNGS_FV_CR_BFR_PRCHS,DV_CMLTV_RCVRS_SNC_DFLT,DV_CMMTMNT_INCPTN,DV_CRRYNG_AMNT,DV_OFF_BLNC_SHT_AMNT,DV_OTSTNDNG_NMNL_AMNT,DV_PRTCTN_ALLCTD_VL,DV_PRVSNS_OFF_BLNC_SHT
20642001,2016-10-1,C_A,I_1,20642001,20642219,0.0,,10000.0,5000.0,200.0,0.0,,,300000.0,80000.0,,90000.0,8000.0,,0.0,,10000.0,5000.0,200.0,0.0,,,300000.0,80000.0,,90000.0,8000.0,
20642001,2016-10-1,C_B,I_2,20642001,20642202,500.0,,0.0,0.0,100.0,0.0,,,15000.0,10000.0,2500.0,10000.0,2500.0,,500.0,,0.0,0.0,100.0,0.0,,,15000.0,10000.0,2500.0,10000.0,2500.0,
20642001,2016-10-1,C_C,I_3,20642101,20642218,0.0,,,,200.0,0.0,,,300000.0,,,90000.0,91500.0,,0.0,,,,200.0,0.0,,,300000.0,,,90000.0,91500.0,
20642001,2016-10-1,C_E,I_5,20642001,20642205,100000.0,,0.0,0.0,200.0,100.0,,,300000.0,89090.0,,90000.0,85000.0,,100000.0,,0.0,0.0,200.0,100.0,,,300000.0,89090.0,,90000.0,85000.0,
20642001,2016-10-1,C_F,I_6,20642001,20642203,0.0,,0.0,0.0,20.833333333333332,0.0,,,8333.333333333332,133333.3333333333,,33333.33333333333,16666.666666666664,,0.0,,0.0,0.0,31.25,0.0,,,12500.0,200000.0,,50000.0,25000.0,
20642001,2016-10-1,C_F,I_6,20642001,20642201,0.0,,0.0,0.0,10.416666666666666,0.0,,,4166.666666666666,66666.66666666666,,16666.666666666664,8333.333333333332,,0.0,,0.0,0.0,15.625,0.0,,,6250.0,100000.0,,25000.0,12500.0,
20642001,2016-10-1,C_F,I_6,20642101,20642203,0.0,,,,31.25,0.0,,,12499.999999999998,,,49999.99999999999,24999.999999999996,,0.0,,,,46.875,0.0,,,18750.0,,,75000.0,37500.0,
20642001,2016-10-1,C_F,I_6,20642101,20642201,0.0,,,,15.625,0.0,,,6249.999999999999,,,24999.999999999996,12499.999999999998,,0.0,,,,23.4375,0.0,,,9375.0,,,37500.0,18750.0,
20642001,2016-10-1,C_G,I_7,20642001,20642203,7000.0,,0.0,0.0,17.5,0.0,,,350.0,5000.0,35.0,3500.0,3500.0,,7000.0,,0.0,0.0,17.5,0.0,,,350.0,5000.0,35.0,3500.0,3500.0,
20642001,2016-10-1,C_G,I_7,20642001,20642201,7000.0,,0.0,0.0,17.5,0.0,,,350.0,5000.0,35.0,3500.0,3500.0,,7000.0,,0.0,0.0,17.5,0.0,,,350.0,5000.0,35.0,3500.0,3500.0,
20642001,2016-10-1,C_G,I_7,20642102,20642203,1500.0,,,,3.75,0.0,,,75.0,,7.5,750.0,750.0,,1500.0,,,,3.75,0.0,,,75.0,,7.5,750.0,750.0,
20642001,2016-10-1,C_G,I_7,20642102,20642201,1500.0,,,,3.75,0.0,,,75.0,,7.5,750.0,750.0,,1500.0,,,,3.75,0.0,,,75.0,,7.5,750.0,750.0,
