OBSRVD_AGNT_ID,DT_RFRNC,CNTRCT_ID,INSTRMNT_ID,CRDTR_ID,DBTR_ID,JNT_LBLTY_AMNT,TTL_LBLTY_AMNT,OTSTNDNG_NMNL_AMNT_INSTRMNT,NMBR_DBTRS,DV_SHR_ONA_DBTR,CV_SHR_ONA_DBTR,NMBR_CRDTRS,SHR_ONA_CRDTR,ARRRS,ACCRD_INTRST,OFF_BLNC_SHT_AMNT,PRFRMNG_STTS,ACCMLTD_WRTFFS,ACCMLTD_IMPRMNT,ACCMLTD_CHNGS_FV_CR,CMLTV_RCVRS_SNC_DFLT,CRRYNG_AMNT,PRVSNS_OFF_BLNC_SHT,CMMTMNT_INCPTN,FV_CHNG_CR_BFR_PRCHS,THRD_PRTY_PRRTY_CLMS,PRTCTN_ALLCTD_VL
20642001,2016-10-01,C_A,I_1,20642001,20642219,90000.0,90000.0,90000.0,1,1.0,1.0,1,1.0,0.0,200.0,,1,5000.0,10000.0,,,80000.0,,300000.0,,0.0,8000.0
20642001,2016-10-01,C_B,I_2,20642001,20642202,10000.0,10000.0,10000.0,1,1.0,1.0,1,1.0,0.0,100.0,2500.0,11,0.0,0.0,,,10000.0,,15000.0,,500.0,2500.0
20642001,2016-10-01,C_C,I_3,20642101,20642218,90000.0,90000.0,90000.0,1,1.0,1.0,1,1.0,0.0,200.0,,11,0.0,0.0,,,90000.0,,300000.0,,0.0,91500.0
20642001,2016-10-01,C_E,I_5,20642001,20642205,90000.0,90000.0,90000.0,1,1.0,1.0,1,1.0,100.0,200.0,,11,0.0,0.0,,,89090.0,,300000.0,,100000.0,85000.0
20642001,2016-10-01,C_F,I_6,20642001,20642203,200000.0,300000.0,200000.0,2,1.0,0.6666666666666666,1,0.25,0.0,125.0,,11,0.0,0.0,,,200000.0,,50000.0,,0.0,100000.0
20642001,2016-10-01,C_F,I_6,20642001,20642201,100000.0,300000.0,200000.0,2,0.5,0.3333333333333333,3,0.25,0.0,125.0,,11,0.0,0.0,,,200000.0,,50000.0,,0.0,100000.0
20642001,2016-10-01,C_F,I_6,20642101,20642203,200000.0,300000.0,200000.0,2,1.0,0.6666666666666666,3,0.375,0.0,125.0,,11,0.0,0.0,,,200000.0,,50000.0,,0.0,100000.0
20642001,2016-10-01,C_F,I_6,20642101,20642201,100000.0,300000.0,200000.0,2,0.5,0.3333333333333333,3,0.375,0.0,125.0,,11,0.0,0.0,,,200000.0,,50000.0,,0.0,100000.0
20642001,2016-10-01,C_G,I_7,20642001,20642203,5000.0,10000.0,10000.0,2,0.5,0.5,3,0.7,0.0,50.0,100.0,11,0.0,0.0,,,10000.0,,1000.0,,20000.0,10000.0
20642001,2016-10-01,C_G,I_7,20642001,20642201,5000.0,10000.0,10000.0,2,0.5,0.5,3,0.7,0.0,50.0,100.0,11,0.0,0.0,,,10000.0,,1000.0,,20000.0,10000.0
20642001,2016-10-01,C_G,I_7,20642102,20642203,5000.0,10000.0,10000.0,2,0.5,0.5,3,0.15,0.0,50.0,100.0,11,0.0,0.0,,,10000.0,,1000.0,,20000.0,10000.0
20642001,2016-10-01,C_G,I_7,20642102,20642201,5000.0,10000.0,10000.0,2,0.5,0.5,3,0.15,0.0,50.0,100.0,11,0.0,0.0,,,10000.0,,1000.0,,20000.0,10000.0
