CMMTMNT_INCPTN,CNTRCT_ID,CRRNCY_DNMNTN,DT_INCPTN,DT_LGL_FNL_MTRTY,DT_STTLMNT,FDCRY,FV_CHNG_CR_BFR_PRCHS,INSTRMNT_ID,INTRST_RT_CP,INTRST_RT_FLR,INTRST_RT_RST_FRQNCY,INTRST_RT_SPRD,NEVS_DT_END_INTRST_ONLY,NEVS_SYNDCTD_CNTRCT_ID,PRJCT_FNNC_LN,PRPS,PYMNT_FRQNCY,RCRS,RFRNC_RT,RPYMNT_RGHTS,SBRDNTD_DBT,TYP_AMRTSTN,TYP_INSTRMNT,TYP_INTRST_RT,OBSRVD_AGNT_CD,DT_RFRNC,NEVS_INTRST_RT_SPRD,NEVS_PRJCT_FNNC_LN,NEVS_RPYMNT_RGHTS,NEVS_SBRDNTD_DBT,NEVS_DT_STTLMNT,NEVS_RCRS,NEVS_CRRNCY_DNMNTN,SYNDCTD_CNTRCT_ID,NEVS_FDCRY,NEVS_PYMNT_FRQNCY,DT_END_INTRST_ONLY,NEVS_TYP_INSTRMNT,NEVS_DT_INCPTN,NEVS_TYP_AMRTSTN,NEVS_INTRST_RT_FLR,NEVS_TYP_INTRST_RT,NEVS_FV_CHNG_CR_BFR_PRCHS,NEVS_CMMTMNT_INCPTN,NEVS_DT_LGL_FNL_MTRTY,NEVS_INTRST_RT_CP,NEVS_INTRST_RT_RST_FRQNCY,NEVS_RFRNC_RT,NEVS_PRPS,CNTRY,INSTTTNL_SCTR_DTL,INSTTTNL_SCTR,LGL_FRM,HD_QRTR_CD,SSMSIGNIFICANCE,DT_LGL_PRCDNG_STTS,LGL_PRCDNG_STTS,DT_ENTRPRS_SZ,ENTRPRS_SZ,BLNC_SHT_TTL_CRRNCY,ANNL_TRNVR_CRRNCY,NMBR_EMPLYS,TRRTRL_UNT,IMMDT_PRNT_CD,ULTMT_PRNT_CD,LEI,NM_ENTTY,STRT,CTY,PSTL_CD,ECNMC_ACTVTY,ACCNTNG_FRMWRK_SL,IS_ANCRDT_RPRTNG_AGNT,HD_QRTR_CNTRY
2000000,C_0,EUR,2016-07-01,2021-06-30,2016-07-01,2,0,I_0,0.1,0.01,8,0.02,0,0,2,9,1,2,100,2,2,3,1004,2,AT_Bank,2019-06-30,,,,,,,,,,,,,,,,,,,,,,,,AT,S122_A,S122,,,,,,,,,,,,,,,AT_Bank,,,,,,,
2000000,1D_ONA_null,EUR,2016-07-01,2021-06-30,2016-07-01,2,0,JLA_null,0.1,0.01,8,0.02,,,2,9,1,2,100,2,2,3,1004,2,AT_Bank,2019-06-30,,,,,,,,,,,,,,,,,,,,,,,,AT,S122_A,S122,,,,,,,,,,,,,,,AT_Bank,,,,,,,
2000000,1D_ONA_0,EUR,2016-07-01,2021-06-30,2016-07-01,2,0,JLA_null,0.1,0.01,8,0.02,,,2,9,1,2,100,2,2,3,1004,2,AT_Bank,2019-06-30,,,,,,,,,,,,,,,,,,,,,,,,AT,S122_A,S122,,,,,,,,,,,,,,,AT_Bank,,,,,,,
2000000,1D_ONA_OK,EUR,2016-07-01,2021-06-30,2016-07-01,2,0,JLA_null,0.1,0.01,8,0.02,,,2,9,1,2,100,2,2,3,1004,2,AT_Bank,2019-06-30,,,,,,,,,,,,,,,,,,,,,,,,AT,S122_A,S122,,,,,,,,,,,,,,,AT_Bank,,,,,,,
2000000,1D_ONA_null,EUR,2016-07-01,2021-06-30,2016-07-01,2,0,JLA_0,0.1,0.01,8,0.02,,,2,9,1,2,100,2,2,3,1004,2,AT_Bank,2019-06-30,,,,,,,,,,,,,,,,,,,,,,,,AT,S122_A,S122,,,,,,,,,,,,,,,AT_Bank,,,,,,,
2000000,1D_ONA_0,EUR,2016-07-01,2021-06-30,2016-07-01,2,0,JLA_0,0.1,0.01,8,0.02,,,2,9,1,2,100,2,2,3,1004,2,AT_Bank,2019-06-30,,,,,,,,,,,,,,,,,,,,,,,,AT,S122_A,S122,,,,,,,,,,,,,,,AT_Bank,,,,,,,
2000000,1D_ONA_OK,EUR,2016-07-01,2021-06-30,2016-07-01,2,0,JLA_0,0.1,0.01,8,0.02,,,2,9,1,2,100,2,2,3,1004,2,AT_Bank,2019-06-30,,,,,,,,,,,,,,,,,,,,,,,,AT,S122_A,S122,,,,,,,,,,,,,,,AT_Bank,,,,,,,
2000000,1D_ONA_OK,EUR,2016-07-01,2021-06-30,2016-07-01,2,0,JLA_smaller,0.1,0.01,8,0.02,,,2,9,1,2,100,2,2,3,1004,2,AT_Bank,2019-06-30,,,,,,,,,,,,,,,,,,,,,,,,AT,S122_A,S122,,,,,,,,,,,,,,,AT_Bank,,,,,,,
2000000,1D_ONA_OK,EUR,2016-07-01,2021-06-30,2016-07-01,2,0,JLA_equal,0.1,0.01,8,0.02,,,2,9,1,2,100,2,2,3,1004,2,AT_Bank,2019-06-30,,,,,,,,,,,,,,,,,,,,,,,,AT,S122_A,S122,,,,,,,,,,,,,,,AT_Bank,,,,,,,
2000000,1D_ONA_OK,EUR,2016-07-01,2021-06-30,2016-07-01,2,0,JLA_greater,0.1,0.01,8,0.02,,,2,9,1,2,100,2,2,3,1004,2,AT_Bank,2019-06-30,,,,,,,,,,,,,,,,,,,,,,,,AT,S122_A,S122,,,,,,,,,,,,,,,AT_Bank,,,,,,,
2000000,2D_ONA_null,EUR,2016-07-01,2021-06-30,2016-07-01,2,0,JLA_null_1,0.1,0.01,8,0.02,,,2,9,1,2,100,2,2,3,1004,2,AT_Bank,2019-06-30,,,,,,,,,,,,,,,,,,,,,,,,AT,S122_A,S122,,,,,,,,,,,,,,,AT_Bank,,,,,,,
2000000,2D_ONA_0,EUR,2016-07-01,2021-06-30,2016-07-01,2,0,JLA_null_1,0.1,0.01,8,0.02,,,2,9,1,2,100,2,2,3,1004,2,AT_Bank,2019-06-30,,,,,,,,,,,,,,,,,,,,,,,,AT,S122_A,S122,,,,,,,,,,,,,,,AT_Bank,,,,,,,
2000000,2D_ONA_OK,EUR,2016-07-01,2021-06-30,2016-07-01,2,0,JLA_null_1,0.1,0.01,8,0.02,,,2,9,1,2,100,2,2,3,1004,2,AT_Bank,2019-06-30,,,,,,,,,,,,,,,,,,,,,,,,AT,S122_A,S122,,,,,,,,,,,,,,,AT_Bank,,,,,,,
2000000,2D_ONA_null,EUR,2016-07-01,2021-06-30,2016-07-01,2,0,JLA_0_1,0.1,0.01,8,0.02,,,2,9,1,2,100,2,2,3,1004,2,AT_Bank,2019-06-30,,,,,,,,,,,,,,,,,,,,,,,,AT,S122_A,S122,,,,,,,,,,,,,,,AT_Bank,,,,,,,
2000000,2D_ONA_0,EUR,2016-07-01,2021-06-30,2016-07-01,2,0,JLA_0_1,0.1,0.01,8,0.02,,,2,9,1,2,100,2,2,3,1004,2,AT_Bank,2019-06-30,,,,,,,,,,,,,,,,,,,,,,,,AT,S122_A,S122,,,,,,,,,,,,,,,AT_Bank,,,,,,,
2000000,2D_ONA_OK,EUR,2016-07-01,2021-06-30,2016-07-01,2,0,JLA_0_1,0.1,0.01,8,0.02,,,2,9,1,2,100,2,2,3,1004,2,AT_Bank,2019-06-30,,,,,,,,,,,,,,,,,,,,,,,,AT,S122_A,S122,,,,,,,,,,,,,,,AT_Bank,,,,,,,
2000000,3D_ONA_OK,EUR,2016-07-01,2021-06-30,2016-07-01,2,0,JLA_smaller_1,0.1,0.01,8,0.02,,,2,9,1,2,100,2,2,3,1004,2,AT_Bank,2019-06-30,,,,,,,,,,,,,,,,,,,,,,,,AT,S122_A,S122,,,,,,,,,,,,,,,AT_Bank,,,,,,,
2000000,3D_ONA_OK,EUR,2016-07-01,2021-06-30,2016-07-01,2,0,JLA_equal_1,0.1,0.01,8,0.02,,,2,9,1,2,100,2,2,3,1004,2,AT_Bank,2019-06-30,,,,,,,,,,,,,,,,,,,,,,,,AT,S122_A,S122,,,,,,,,,,,,,,,AT_Bank,,,,,,,
2000000,3D_ONA_OK,EUR,2016-07-01,2021-06-30,2016-07-01,2,0,JLA_greater_1,0.1,0.01,8,0.02,,,2,9,1,2,100,2,2,3,1004,2,AT_Bank,2019-06-30,,,,,,,,,,,,,,,,,,,,,,,,AT,S122_A,S122,,,,,,,,,,,,,,,AT_Bank,,,,,,,
2000000,3D_ONA_null,EUR,2016-07-01,2021-06-30,2016-07-01,2,0,JLA_null_all,0.1,0.01,8,0.02,,,2,9,1,2,100,2,2,3,1004,2,AT_Bank,2019-06-30,,,,,,,,,,,,,,,,,,,,,,,,AT,S122_A,S122,,,,,,,,,,,,,,,AT_Bank,,,,,,,
2000000,3D_ONA_0,EUR,2016-07-01,2021-06-30,2016-07-01,2,0,JLA_null_all,0.1,0.01,8,0.02,,,2,9,1,2,100,2,2,3,1004,2,AT_Bank,2019-06-30,,,,,,,,,,,,,,,,,,,,,,,,AT,S122_A,S122,,,,,,,,,,,,,,,AT_Bank,,,,,,,
2000000,3D_ONA_OK,EUR,2016-07-01,2021-06-30,2016-07-01,2,0,JLA_null_all,0.1,0.01,8,0.02,,,2,9,1,2,100,2,2,3,1004,2,AT_Bank,2019-06-30,,,,,,,,,,,,,,,,,,,,,,,,AT,S122_A,S122,,,,,,,,,,,,,,,AT_Bank,,,,,,,
2000000,3D_ONA_null,EUR,2016-07-01,2021-06-30,2016-07-01,2,0,JLA_0_all,0.1,0.01,8,0.02,,,2,9,1,2,100,2,2,3,1004,2,AT_Bank,2019-06-30,,,,,,,,,,,,,,,,,,,,,,,,AT,S122_A,S122,,,,,,,,,,,,,,,AT_Bank,,,,,,,
2000000,3D_ONA_0,EUR,2016-07-01,2021-06-30,2016-07-01,2,0,JLA_0_all,0.1,0.01,8,0.02,,,2,9,1,2,100,2,2,3,1004,2,AT_Bank,2019-06-30,,,,,,,,,,,,,,,,,,,,,,,,AT,S122_A,S122,,,,,,,,,,,,,,,AT_Bank,,,,,,,
2000000,3D_ONA_OK,EUR,2016-07-01,2021-06-30,2016-07-01,2,0,JLA_0_all,0.1,0.01,8,0.02,,,2,9,1,2,100,2,2,3,1004,2,AT_Bank,2019-06-30,,,,,,,,,,,,,,,,,,,,,,,,AT,S122_A,S122,,,,,,,,,,,,,,,AT_Bank,,,,,,,
2000000,3D_ONA_OK,EUR,2016-07-01,2021-06-30,2016-07-01,2,0,JLA_smaller_all,0.1,0.01,8,0.02,,,2,9,1,2,100,2,2,3,1004,2,AT_Bank,2019-06-30,,,,,,,,,,,,,,,,,,,,,,,,AT,S122_A,S122,,,,,,,,,,,,,,,AT_Bank,,,,,,,
2000000,3D_ONA_OK,EUR,2016-07-01,2021-06-30,2016-07-01,2,0,JLA_equal_all,0.1,0.01,8,0.02,,,2,9,1,2,100,2,2,3,1004,2,AT_Bank,2019-06-30,,,,,,,,,,,,,,,,,,,,,,,,AT,S122_A,S122,,,,,,,,,,,,,,,AT_Bank,,,,,,,
2000000,3D_ONA_OK,EUR,2016-07-01,2021-06-30,2016-07-01,2,0,JLA_greater_all,0.1,0.01,8,0.02,,,2,9,1,2,100,2,2,3,1004,2,AT_Bank,2019-06-30,,,,,,,,,,,,,,,,,,,,,,,,AT,S122_A,S122,,,,,,,,,,,,,,,AT_Bank,,,,,,,
