MARKET_GEO,NBB_ISTI,INDEX_BASE,UNIT_MEASURE,UNIT_MULT,DECIMALS,FREQ,TIME_PERIOD,OBS_VALUE,OBS_STATUS,CONF_STATUS,EMBARGO_TIME
OPI,20,2010,IX,0,,M,2010-Q1,96.37,A,F,
OPI,31,2010,IX,0,,M,2010-Q1,96.99,A,C,
OPI,39,2010,IX,0,,M,2010-Q1,94.96,A,N,
OPI,40,2010,IX,0,,M,2010-Q1,95.08,A,E,
OPI,50,2010,IX,0,,M,2010-Q1,98.45,A,F,
OPI,60,2010,IX,0,,M,2010-Q1,99.22,A,F,
OPI,70,2010,IX,0,,M,2010-Q1,99.08,A,C,
OPI,80,2010,IX,0,,M,2010-Q1,99.1,A,N,
OPI,90,2010,IX,0,,M,2010-Q1,94.87,A,E,
OPI,100,2010,IX,0,,M,2010-Q1,99.87,A,F,
OPI,200,2010,IX,0,,M,2010-Q1,96.34,A,F,
OPI,257,2010,IX,0,,M,2010-Q1,98.7,A,C,
OPI,3500,2010,IX,0,,M,2010-Q1,96.38,A,N,
OPI,1920,2010,IX,0,,M,2010-Q1,93.39,A,E,
OPI,3510,2010,IX,0,,M,2010-Q1,97.01,A,F,
OPI,3520,2010,IX,0,,M,2010-Q1,94.29,A,F,
OPI,3600,2010,IX,0,,M,2010-Q1,99.83,A,C,
OPI,2400,2010,IX,0,,M,2010-Q1,89.07,A,N,
OPI,2410,2010,IX,0,,M,2010-Q1,86.18,A,E,
OPI,2430,2010,IX,0,,M,2010-Q1,92.7,A,F,
OPI,2434,2010,IX,0,,M,2010-Q1,88.87,A,F,
OPI,2440,2010,IX,0,,M,2010-Q1,93.83,A,C,
OPI,2444,2010,IX,0,,M,2010-Q1,87.75,A,N,
OPI,2450,2010,IX,0,,M,2010-Q1,99.17,A,E,
OPI,2451,2010,IX,0,,M,2010-Q1,98.41,A,F,
OPI,2453,2010,IX,0,,M,2010-Q1,100.0,A,F,
OPI,810,2010,IX,0,,M,2010-Q1,99.85,A,C,
OPI,811,2010,IX,0,,M,2010-Q1,99.94,A,N,
OPI,812,2010,IX,0,,M,2010-Q1,99.68,A,E,
OPI,2300,2010,IX,0,,M,2010-Q1,99.23,A,F,
OPI,2310,2010,IX,0,,M,2010-Q1,98.6,A,F,
OPI,2311,2010,IX,0,,M,2010-Q1,96.02,A,C,
OPI,2312,2010,IX,0,,M,2010-Q1,101.21,A,N,
OPI,2314,2010,IX,0,,M,2010-Q1,100.0,A,E,
OPI,2330,2010,IX,0,,M,2010-Q1,100.0,A,F,
OPI,2332,2010,IX,0,,M,2010-Q1,100.0,A,F,
OPI,2350,2010,IX,0,,M,2010-Q1,99.48,A,C,
OPI,2351,2010,IX,0,,M,2010-Q1,99.18,A,N,
OPI,2360,2010,IX,0,,M,2010-Q1,100.01,A,E,
OPI,2361,2010,IX,0,,M,2010-Q1,99.45,A,F,
OPI,2362,2010,IX,0,,M,2010-Q1,101.89,A,F,
OPI,2363,2010,IX,0,,M,2010-Q1,101.29,A,C,
OPI,2369,2010,IX,0,,M,2010-Q1,96.85,A,N,
OPI,2370,2010,IX,0,,M,2010-Q1,101.24,A,E,
OPI,2390,2010,IX,0,,M,2010-Q1,95.65,A,F,
OPI,2399,2010,IX,0,,M,2010-Q1,95.4,A,F,
OPI,2000,2010,IX,0,,M,2010-Q1,95.26,A,C,
OPI,2010,2010,IX,0,,M,2010-Q1,93.46,A,N,
OPI,2011,2010,IX,0,,M,2010-Q1,90.06,A,E,
OPI,2012,2010,IX,0,,M,2010-Q1,87.21,A,F,
OPI,2013,2010,IX,0,,M,2010-Q1,90.22,A,F,
OPI,2014,2010,IX,0,,M,2010-Q1,92.14,A,C,
OPI,2016,2010,IX,0,,M,2010-Q1,98.52,A,N,
OPI,2030,2010,IX,0,,M,2010-Q1,99.35,A,E,
OPI,2040,2010,IX,0,,M,2010-Q1,100.0,A,F,
OPI,2042,2010,IX,0,,M,2010-Q1,100.0,A,F,
OPI,2050,2010,IX,0,,M,2010-Q1,100.32,A,C,
OPI,2053,2010,IX,0,,M,2010-Q1,99.7,A,N,
OPI,2059,2010,IX,0,,M,2010-Q1,100.35,A,E,
OPI,2060,2010,IX,0,,M,2010-Q1,92.04,A,F,
OPI,2100,2010,IX,0,,M,2010-Q1,99.46,A,F,
OPI,2110,2010,IX,0,,M,2010-Q1,93.74,A,C,
OPI,2120,2010,IX,0,,M,2010-Q1,100.0,A,N,
OPI,2500,2010,IX,0,,M,2010-Q1,95.81,A,E,
OPI,2510,2010,IX,0,,M,2010-Q1,89.78,A,F,
OPI,2511,2010,IX,0,,M,2010-Q1,84.58,A,F,
OPI,2512,2010,IX,0,,M,2010-Q1,99.07,A,C,
OPI,2520,2010,IX,0,,M,2010-Q1,95.06,A,N,
OPI,2521,2010,IX,0,,M,2010-Q1,97.84,A,E,
OPI,2529,2010,IX,0,,M,2010-Q1,89.7,A,F,
OPI,2560,2010,IX,0,,M,2010-Q1,100.16,A,F,
OPI,2561,2010,IX,0,,M,2010-Q1,99.99,A,C,
OPI,2562,2010,IX,0,,M,2010-Q1,100.22,A,N,
OPI,2570,2010,IX,0,,M,2010-Q1,100.0,A,E,
OPI,2590,2010,IX,0,,M,2010-Q1,98.45,A,F,
OPI,2599,2010,IX,0,,M,2010-Q1,101.61,A,F,
OPI,2600,2010,IX,0,,M,2010-Q1,99.97,A,C,
OPI,2630,2010,IX,0,,M,2010-Q1,99.91,A,N,
OPI,2700,2010,IX,0,,M,2010-Q1,99.39,A,E,
OPI,2710,2010,IX,0,,M,2010-Q1,100.0,A,F,
OPI,2711,2010,IX,0,,M,2010-Q1,100.0,A,F,
OPI,2730,2010,IX,0,,M,2010-Q1,94.43,A,C,
OPI,2732,2010,IX,0,,M,2010-Q1,94.27,A,N,
OPI,2733,2010,IX,0,,M,2010-Q1,97.72,A,E,
OPI,2740,2010,IX,0,,M,2010-Q1,99.72,A,F,
OPI,2750,2010,IX,0,,M,2010-Q1,98.51,A,F,
OPI,2752,2010,IX,0,,M,2010-Q1,100.02,A,C,
OPI,2790,2010,IX,0,,M,2010-Q1,106.39,A,N,
OPI,2800,2010,IX,0,,M,2010-Q1,99.18,A,E,
OPI,2810,2010,IX,0,,M,2010-Q1,99.32,A,F,
OPI,2820,2010,IX,0,,M,2010-Q1,97.9,A,F,
OPI,2822,2010,IX,0,,M,2010-Q1,100.0,A,C,
OPI,2825,2010,IX,0,,M,2010-Q1,96.2,A,N,
OPI,2829,2010,IX,0,,M,2010-Q1,99.89,A,E,
OPI,2830,2010,IX,0,,M,2010-Q1,99.79,A,F,
OPI,2890,2010,IX,0,,M,2010-Q1,100.59,A,F,
OPI,2893,2010,IX,0,,M,2010-Q1,99.98,A,C,
OPI,2894,2010,IX,0,,M,2010-Q1,101.93,A,N,
OPI,2900,2010,IX,0,,M,2010-Q1,99.47,A,E,
OPI,2910,2010,IX,0,,M,2010-Q1,99.78,A,F,
OPI,2920,2010,IX,0,,M,2010-Q1,103.04,A,F,
OPI,2930,2010,IX,0,,M,2010-Q1,97.16,A,C,
